Alloy,Diff. Lattice Constants,Diff. Melting Point,Mixing Enthalpy,Lattice Constants,Lambda,Diff. in atomic radii,Omega,Melting Temp.,Diff. Electronegativity,Mixing Entropy,Valence electron,Young's Mod (GPa)
CoMnNi,2.810663347,109.1792243,-5.977658223,4.981150188,0.6549003,3.734663946,2.554421184,1671.64995,0.163094249,9.134362606,8.66658,190
CoFeNi,0.421049517,33.89181583,-1.012868631,2.965837008,85.08831546,0.327645465,15.95322964,1768.98231,0.032998151,9.134362606,8.99991,161
CoCrNi,0.418116715,204.2994109,-5.023455085,2.980336863,337.3141348,0.164559081,3.440269881,1891.98108,0.111454466,9.134362606,8.33325,226
Co4Ni4Cr,0.522286172,203.6850145,-2.361829306,3.003792184,190.3786583,0.205287901,6.10096385,1795.98204,0.112243661,8.023151064,9.11102,223
Co19Ni19Cr1,0.576609587,220.3922952,-0.760828304,3.012843698,128.8063066,0.226478902,15.27533311,1759.07648,0.122117127,6.606822342,9.41026,219
CoFeMnNi,2.600658061,112.1617136,-3.80525,4.452525,0.913960161,3.551249522,5.169073884,1706.5,0.142894192,11.52629264,8.5,186
CoCrFeNi ,0.365442957,180.3723579,-3.701,2.9519,126.282311,0.302115885,5.829326737,1871.75,0.096695398,11.52629264,8.25,210
CoCr4Ni4,0.365443818,220.94635,-6.170345727,3.138090841,389.2358369,0.143570785,2.513841357,1933.314,0.121573431,8.023151064,8.11103,240
CoCrFeMnNi,2.406540925,214.3281596,-4.09696,4.14402,1.25185897,3.269463577,5.883132464,1801.2,0.138361844,13.38161136,8,202
CoCrFeNi2.1Nb0,0.400139102,170.331415,-3.691402205,3.075290528,152.400347,0.268735803,5.488321106,1840.746,0.093293115,11.00619023,8.62744,27
CoCrFeNi2.1Nb0.2,0.394855543,240.7110417,-6.516215477,3.083821264,1.537066802,2.785590943,3.432033017,1875.07856,0.102258145,11.92689583,8.49064,47.8
CoCrFeNi2.1Nb0.4,0.389725088,287.5045058,-8.927421476,3.091695924,0.871114476,3.768747661,2.642833649,1906.89384,0.109252929,12.37283869,8.36371,53
